title,sale_price,item_sold,likes,shop_rating,discount_pct,category,brand,product_short_link,opportunity_score
[ช้อปครบ รับฟรี!] Dr.PONG ZERO PORE blurring K powder แป้งพัฟเบลอรูขุมขน ปกปิด คุมมัน MADE IN KOREA จากเกาหลี,279.0,5006.0,107738.0,4.92,72.0,Face,Dr.Pong(ด็อกเตอร์พงศ์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F6583190%2F20753476086,18321.05
SKINTIFIC Perfect Stay Velvet Matte Cushion แมตต์ คุชชั่นรองพื้น ปกปิดจัดเต็ม กันน้ำกันเหงื่อ ติดทนคุมมันนาน 12 ชั่วโมง,299.0,21997.0,36790.0,4.93,63.0,Face,Skintific,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1459654235%2F28025832420,14474.65
[แพ็กคู่] ลอรีอัล ปารีส L'Oréal Paris UV Defender Invisible Resist SPF50+ PA++++ 50ml กันแดดล่องหน บางเบา ไม่เหนอะหนะ,999.0,18391.0,44350.0,4.91,17.0,Face Sunscreen,L'Oreal Paris,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F29667634%2F19857757966,14159.5
CUTE PRESS 1-2-BEAUTIFUL MAKEUP FIXING SPRAY 60 ml สเปรย์สำหรับล็อกเมคอัพบนใบหน้า,224.0,4990.0,38324.0,4.93,30.0,Face,Cute Press,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F45838542%2F8638631469,7897.3
BANOBAGI Final Sleeping Mask บาโนบากิ สลีปปิ้งมาสก์ 23ml (Acne/Bio-Lacto/Caffeine/Whitening),46.0,2433.0,36996.0,4.93,50.0,Face Mask & Packs,Banobagi,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F70998059%2F18077268132,6678.0
Round Lab Birch Juice Moisturizing Sunscreen SPF50+ PA++++ 50 ml.,369.0,3726.0,32634.0,4.95,62.0,Face Sunscreen,Round Lab,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F549247856%2F19922183497,6543.3
In2It Primer++ อินทูอิท ไพรเมอร์ 15g (PMP/Glow/PME Enriched),119.0,1654.0,36677.0,4.93,50.0,Face,in2it(อินทูอิท),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F70998059%2F15370525651,6318.4
ถูก/แท้/มีไลฟ์ (มีสีใหม่) บลัชออน Charmiss Glow Friend Natural Blush On Y2K บลัชออนเนื้อโมจิ ปัดแก้ม ติดทน,95.0,49.0,40012.0,4.9,63.0,Face,Charmiss,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F15147300%2F20044647988,6178.0
(ซื้อ 1 แถม 1) OUKEYA บลัชออนเนื้อฝุ่น สีชัด ติดทน แก้มเนียนสวยดูอ่อนเยาว์ เบอร์พิเศษเปลี่ยนสีตามอุณหภูม,75.0,3341.0,26739.0,4.89,77.0,Face,OUKEYA,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1128792944%2F29557862062,5505.8
[พร้อมส่ง] 1กล่องx10ชิ้นCOLORKEY LUMINOUS FACIAL MASK B5 มาส์กหน้า บำรุงผิว ฟื้นฟูผิว เติมความชุ่มชื้น คัลเลอร์คีย์,151.0,5562.0,16894.0,4.94,60.0,Face Mask & Packs,Colorkey,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1469616290%2F26683790157,4915.95
